date,income
2025-09-25,850
2025-09-26,320
2025-09-27,910
2025-09-28,280
2025-09-29,760
2025-09-30,340
2025-10-01,890
2025-10-02,300
2025-10-03,820
2025-10-04,360
2025-10-05,750
2025-10-06,310
2025-10-07,880
2025-10-08,290
2025-10-09,810
2025-10-10,350
2025-10-11,720
2025-10-12,330
2025-10-13,860
2025-10-14,280
2025-10-15,790
2025-10-16,340
2025-10-17,700
2025-10-18,320
2025-10-19,840
2025-10-20,270
2025-10-21,770
2025-10-22,350
2025-10-23,680
2025-10-24,310
2025-10-25,820
2025-10-26,260
2025-10-27,750
2025-10-28,330
2025-10-29,660
2025-10-30,300
